"id","text","user","RT","retweetCount","favoriteCount","latitude","longitude","time","client"
"712729686682435584","RT @jakevdp: Slides from my #PyAstro16 lightning talk: ""In Defense of Extreme Openness"" https://t.co/ghC4JF0RjL","Chemisist",TRUE,42,0,NA,NA,"2016-03-23 19:56:13","Twitter for Android"
"715550508711215104","Last week ""Python in Astronomy"" took place in Seattle and on Twitter. I made a fun overview of #PyAstro16 tweets: https://t.co/lKaM6aAYUI","GeertHub",FALSE,0,5,NA,NA,"2016-03-31 14:45:10","TweetDeck"
"713050834955677696","Recommended NOT to follow the microsoft TDD recommendations -- they advocate for a more complicated development system. #pyastro16","abigailStev",FALSE,0,0,NA,NA,"2016-03-24 17:12:21","Twitter Web Client"
"713397332742516736","Made a template for doing the gallery examples in sphinx doc! -@adrianprw @kellecruz #pyastro16 #sprints","abigailStev",FALSE,0,1,NA,NA,"2016-03-25 16:09:13","Twitter Web Client"
"711957447959650308","RT @brettmor: Give us ideas for sprint time later! #PyAstro16  https://t.co/4C7Mq8CQyd","IBJIYONGI",TRUE,2,0,NA,NA,"2016-03-21 16:47:37","Twitter for iPhone"
"713746986625671169","RT @abigailStev: In Bayesian notation: @exoplaneteer #pyastro16 https://t.co/wTb286cDCQ","AscendingNode",TRUE,11,0,NA,NA,"2016-03-26 15:18:37","Twitter Web Client"
"714452067880996864","RT @eteq: A bit late, but anyone interested in my #PyAstro16 tutorial on Python packaging can check out https://t.co/SISwZpNRHk for the pre…","adam_m_jcbs",TRUE,6,0,NA,NA,"2016-03-28 14:00:21","Twitter for Android"
"712326876195397632","RT @stephtdouglas: .@njgoldbaum released his simulation results &amp; analysis code, shares tips for reproducible workflow #PyAstro16 https://t…","DataExpLab",TRUE,1,0,NA,NA,"2016-03-22 17:15:36","TweetDeck"
"712727950370717696","RT @eblur27: I’m definitely stoked on Adam’s spectral cube libraries and visualization tools! Something I want but no time to make #openacc…","for_Content",TRUE,1,0,NA,NA,"2016-03-23 19:49:19","RoundTeam"
"715499847428624385","RT @jakevdp: Just learned about conda-forge: https://t.co/RUow3vVNAH
Automatically create conda-installable builds of your packages! #PyAst…","CMastication",TRUE,34,0,NA,NA,"2016-03-31 11:23:51","Twitter for iPhone"
"713050352476553217","If you're ever having a bad day and need to feel clever, do a test-driven development (TDD) 'kata'. #pyastro16","abigailStev",FALSE,0,0,NA,NA,"2016-03-24 17:10:26","Twitter Web Client"
"713397115813126144","Modifying sphinx documentation to show astropy examples in a gallery! -@adrianprw #pyastro16 #sprints","abigailStev",FALSE,0,0,NA,NA,"2016-03-25 16:08:21","Twitter Web Client"
